IDADE;SEXO;DOSE;UF;N
-55;F;1ª Dose;11;1
0;F;1ª Dose;11;2
0;F;1ª Dose;12;1
0;F;1ª Dose;13;1
0;F;1ª Dose;15;2
0;F;1ª Dose;21;1
0;F;1ª Dose;22;1
0;F;1ª Dose;23;8
0;F;1ª Dose;24;2
0;F;1ª Dose;25;1
0;F;1ª Dose;26;2
0;F;1ª Dose;28;2
0;F;1ª Dose;29;6
0;F;1ª Dose;31;7
0;F;1ª Dose;33;3
0;F;1ª Dose;35;23
0;F;1ª Dose;41;25
0;F;1ª Dose;42;7
0;F;1ª Dose;43;6
0;F;1ª Dose;50;2
0;F;1ª Dose;51;4
0;F;1ª Dose;52;1
0;F;1ª Dose;53;1
0;F;2ª Dose;13;1
0;F;2ª Dose;15;1
0;F;2ª Dose;23;7
0;F;2ª Dose;28;1
0;F;2ª Dose;29;1
0;F;2ª Dose;31;5
0;F;2ª Dose;35;8
0;F;2ª Dose;41;22
0;F;2ª Dose;42;1
0;F;2ª Dose;51;1
0;F;2ª Dose;52;1
0;F;Dose ;29;1
0;F;Dose ;42;1
0;M;1ª Dose;12;3
0;M;1ª Dose;13;3
0;M;1ª Dose;15;1
0;M;1ª Dose;21;2
0;M;1ª Dose;23;3
0;M;1ª Dose;26;3
0;M;1ª Dose;27;1
0;M;1ª Dose;29;12
0;M;1ª Dose;31;8
0;M;1ª Dose;32;2
0;M;1ª Dose;35;13
0;M;1ª Dose;41;18
0;M;1ª Dose;42;5
0;M;1ª Dose;43;4
0;M;1ª Dose;50;1
0;M;1ª Dose;51;2
0;M;1ª Dose;52;1
0;M;1ª Dose;NA;3
0;M;2ª Dose;23;1
0;M;2ª Dose;29;4
0;M;2ª Dose;31;4
0;M;2ª Dose;35;2
0;M;2ª Dose;41;20
0;M;2ª Dose;42;3
0;M;2ª Dose;43;2
0;M;2ª Dose;52;2
0;M;2ª Dose;NA;2
0;M;Única ;43;1
1;F;1ª Dose;13;1
