UF;NOME_UF;SEXO;IDADE;POP
11;Rondônia;Homens;18 anos; 14938
11;Rondônia;Homens;19 anos; 15590
11;Rondônia;Homens;20 anos; 16345
11;Rondônia;Homens;21 anos; 15752
11;Rondônia;Homens;22 anos; 15888
11;Rondônia;Homens;23 anos; 15955
11;Rondônia;Homens;24 anos; 15930
11;Rondônia;Homens;25 anos; 15863
11;Rondônia;Homens;30 anos; 15811
11;Rondônia;Homens;31 anos; 15788
11;Rondônia;Homens;32 anos; 15746
11;Rondônia;Homens;33 anos; 15700
11;Rondônia;Homens;34 anos; 15650
11;Rondônia;Homens;35 anos; 15577
11;Rondônia;Homens;36 anos; 15434
11;Rondônia;Homens;37 anos; 15242
11;Rondônia;Homens;38 anos; 15010
11;Rondônia;Homens;39 anos; 14720
11;Rondônia;Homens;40 anos; 14368
11;Rondônia;Homens;41 anos; 14018
11;Rondônia;Homens;42 anos; 13682
11;Rondônia;Homens;43 anos; 13309
11;Rondônia;Homens;44 anos; 12896
11;Rondônia;Homens;45 anos; 12428
11;Rondônia;Homens;46 anos; 11980
11;Rondônia;Homens;47 anos; 11521
11;Rondônia;Homens;48 anos; 11170
11;Rondônia;Homens;49 anos; 10968
11;Rondônia;Homens;50 anos; 10850
11;Rondônia;Homens;51 anos; 10707
11;Rondônia;Homens;52 anos; 10584
11;Rondônia;Homens;53 anos; 10401
11;Rondônia;Homens;54 anos; 10122
11;Rondônia;Homens;55 anos;  9760
11;Rondônia;Homens;56 anos;  9415
11;Rondônia;Homens;57 anos;  9087
11;Rondônia;Homens;58 anos;  8733
11;Rondônia;Homens;59 anos;  8339
11;Rondônia;Homens;60 anos;  7887
11;Rondônia;Homens;61 anos;  7411
11;Rondônia;Homens;62 anos;  6940
11;Rondônia;Homens;63 anos;  6492
11;Rondônia;Homens;64 anos;  6070
11;Rondônia;Homens;65 anos;  5650
11;Rondônia;Homens;66 anos;  5221
11;Rondônia;Homens;67 anos;  4819
11;Rondônia;Homens;68 anos;  4447
11;Rondônia;Homens;69 anos;  4096
11;Rondônia;Homens;70 anos;  3750
11;Rondônia;Homens;71 anos;  3406
11;Rondônia;Homens;72 anos;  3121
11;Rondônia;Homens;73 anos;  2846
11;Rondônia;Homens;74 anos;  2591
11;Rondônia;Homens;75 anos;  2333
11;Rondônia;Homens;76 anos;  2081
11;Rondônia;Homens;77 anos;  1863
11;Rondônia;Homens;78 anos;  1673
11;Rondônia;Homens;79 anos;  1510
11;Rondônia;Homens;80 anos;  1349
11;Rondônia;Homens;81 anos;  1193
11;Rondônia;Homens;82 anos;  1069
11;Rondônia;Homens;83 anos;   951
11;Rondônia;Homens;84 anos;   828
11;Rondônia;Homens;85 anos;   694
11;Rondônia;Homens;86 anos;   566
11;Rondônia;Homens;87 anos;   464
11;Rondônia;Homens;88 anos;   382
11;Rondônia;Homens;89 anos;   313
11;Rondônia;Homens;26 anos; 15835
11;Rondônia;Homens;27 anos; 15801
11;Rondônia;Homens;28 anos; 15780
11;Rondônia;Homens;29 anos; 15787
11;Rondônia;Homens;90 anos ou mais;  1287
11;Rondônia;Mulheres;18 anos; 14385
11;Rondônia;Mulheres;19 anos; 15051
11;Rondônia;Mulheres;20 anos; 15820
11;Rondônia;Mulheres;21 anos; 15213
11;Rondônia;Mulheres;22 anos; 15335
11;Rondônia;Mulheres;23 anos; 15427
11;Rondônia;Mulheres;24 anos; 15490
11;Rondônia;Mulheres;25 anos; 15556
11;Rondônia;Mulheres;30 anos; 15591
11;Rondônia;Mulheres;31 anos; 15481
11;Rondônia;Mulheres;32 anos; 15351
11;Rondônia;Mulheres;33 anos; 15270
11;Rondônia;Mulheres;34 anos; 15273
11;Rondônia;Mulheres;35 anos; 15312
11;Rondônia;Mulheres;36 anos; 15267
11;Rondônia;Mulheres;37 anos; 15173
11;Rondônia;Mulheres;38 anos; 15014
11;Rondônia;Mulheres;39 anos; 14747
11;Rondônia;Mulheres;40 anos; 14407
11;Rondônia;Mulheres;41 anos; 14085
11;Rondônia;Mulheres;42 anos; 13762
11;Rondônia;Mulheres;43 anos; 13433
11;Rondônia;Mulheres;44 anos; 13085
11;Rondônia;Mulheres;45 anos; 12730
11;Rondônia;Mulheres;46 anos; 12364
11;Rondônia;Mulheres;47 anos; 12003
11;Rondônia;Mulheres;48 anos; 11662
11;Rondônia;Mulheres;49 anos; 11356
11;Rondônia;Mulheres;50 anos; 11044
11;Rondônia;Mulheres;51 anos; 10706
11;Rondônia;Mulheres;52 anos; 10361
11;Rondônia;Mulheres;53 anos; 10021
11;Rondônia;Mulheres;54 anos;  9673
